problem,temperature_offset_c,radius_scale,drying_time_h,event_residual,role
3,-3.0,0.8,41.60119367107198,0.0,grid
3,-3.0,0.825,44.067344874062755,0.0,grid
3,-3.0,0.85,46.60602111455105,0.0,grid
3,-3.0,0.875,49.21727323155757,0.0,grid
3,-3.0,0.9,51.90118100872521,0.0,grid
3,-3.0,0.925,54.65780986058608,0.0,grid
3,-3.0,0.95,57.48722426780722,0.0,grid
3,-3.0,0.975,60.38948733313377,0.0,grid
3,-3.0,1.0,63.364644115433315,0.0,grid
3,-3.0,1.025,66.41275430440123,0.0,grid
3,-3.0,1.05,69.53390577072135,0.0,grid
3,-3.0,1.075,72.72805757515424,0.0,grid
3,-3.0,1.1,75.99533118479698,0.0,grid
3,-3.0,1.125,79.33574495093407,0.0,grid
3,-3.0,1.15,82.74934178815823,0.0,grid
3,-3.0,1.175,86.23607124988258,0.0,grid
3,-3.0,1.2,89.79594297962741,0.0,grid
3,-2.5,0.8,40.95273207298277,0.0,grid
3,-2.5,0.825,43.37553782165466,0.0,grid
3,-2.5,0.85,45.86947119545038,0.0,grid
3,-2.5,0.875,48.43460575084239,0.0,grid
3,-2.5,0.9,51.070990941011054,0.0,grid
3,-2.5,0.925,53.778721776229226,0.0,grid
3,-2.5,0.95,56.55784378467206,0.0,grid
3,-2.5,0.975,59.40841905543311,0.0,grid
3,-2.5,1.0,62.330497873378775,2.7755575615628914e-17,grid
3,-2.5,1.025,65.32414393151299,0.0,grid
3,-2.5,1.05,68.38937703489006,2.7755575615628914e-17,grid
3,-2.5,1.075,71.52634431763994,0.0,grid
3,-2.5,1.1,74.73489953160173,0.0,grid
3,-2.5,1.125,78.01515298527293,0.0,grid
3,-2.5,1.15,81.36735858323551,0.0,grid
3,-2.5,1.175,84.79132317259501,0.0,grid
3,-2.5,1.2,88.28706559467851,0.0,grid
3,-2.0,0.8,40.31886563410245,0.0,grid
3,-2.0,0.825,42.6992827756277,0.0,grid
3,-2.0,0.85,45.14946990238368,0.0,grid
3,-2.0,0.875,47.669501894175426,0.0,grid
3,-2.0,0.9,50.25942979683786,0.0,grid
3,-2.0,0.925,52.919336969038305,0.0,grid
3,-2.0,0.95,55.649274487635296,0.0,grid
3,-2.0,0.975,58.44929911831048,0.0,grid
3,-2.0,1.0,61.319473264428524,0.0,grid
3,-2.0,1.025,64.25983931995044,0.0,grid
3,-2.0,1.05,67.270450887153,0.0,grid
3,-2.0,1.075,70.35135500443675,0.0,grid
3,-2.0,1.1,73.50261634156797,0.0,grid
3,-2.0,1.125,76.72424792763339,0.0,grid
3,-2.0,1.15,80.01630942177738,0.0,grid
3,-2.0,1.175,83.37877193659726,0.0,grid
3,-2.0,1.2,86.81168806717334,0.0,grid
3,-1.5,0.8,39.699236576994494,0.0,grid
3,-1.5,0.825,42.03820255497775,0.0,grid
3,-1.5,0.85,44.4456159140584,0.0,grid
3,-1.5,0.875,46.92153623710625,0.0,grid
3,-1.5,0.9,49.46602293147377,0.0,grid
3,-1.5,0.925,52.07916473993377,0.0,grid
3,-1.5,0.95,54.76099910834277,0.0,grid
3,-1.5,0.975,57.51159506782891,0.0,grid
3,-1.5,1.0,60.33100377098003,0.0,grid
3,-1.5,1.025,63.21927161921972,0.0,grid
3,-1.5,1.05,66.17646338421228,0.0,grid
3,-1.5,1.075,69.20258259995525,0.0,grid
3,-1.5,1.1,72.29772866463856,0.0,grid
3,-1.5,1.125,75.46193147659761,0.0,grid
3,-1.5,1.15,78.69519875291279,0.0,grid
3,-1.5,1.175,81.99759243478816,0.0,grid
3,-1.5,1.2,85.36913437812494,0.0,grid
3,-1.0,0.8,39.09349516542653,0.0,grid
3,-1.0,0.825,41.391925275718584,0.0,grid
3,-1.0,0.85,43.757502144084874,0.0,grid
3,-1.0,0.875,46.190286018864796,0.0,grid
3,-1.0,0.9,48.69033865898848,0.0,grid
3,-1.0,0.925,51.25773778207345,0.0,grid
3,-1.0,0.95,53.89252979715424,0.0,grid
3,-1.0,0.975,56.59477771950661,0.0,grid
3,-1.0,1.0,59.364552217775305,0.0,grid
3,-1.0,1.025,62.201853649023164,2.7755575615628914e-17,grid
3,-1.0,1.05,65.10677691299415,0.0,grid
3,-1.0,1.075,68.0793517477788,0.0,grid
3,-1.0,1.1,71.11963076547563,0.0,grid
3,-1.0,1.125,74.22765142981216,0.0,grid
3,-1.0,1.15,77.4034379384718,0.0,grid
3,-1.0,1.175,80.64700912554764,0.0,grid
3,-1.0,1.2,83.95842562865948,0.0,grid
3,-0.5,0.8,38.50130309639712,0.0,grid
3,-0.5,0.825,40.76008948146523,0.0,grid
3,-0.5,0.85,43.08475126974319,0.0,grid
3,-0.5,0.875,45.47534724958281,0.0,grid
3,-0.5,0.9,47.93193438037037,0.0,grid
3,-0.5,0.925,50.454595729191496,0.0,grid
3,-0.5,0.95,53.043379838988045,0.0,grid
3,-0.5,0.975,55.698342941042945,0.0,grid
3,-0.5,1.0,58.41954222752243,0.0,grid
3,-0.5,1.025,61.20701723137135,0.0,grid
3,-0.5,1.05,64.06082334455274,0.0,grid
3,-0.5,1.075,66.98100658828923,0.0,grid
3,-0.5,1.1,69.96760672781507,0.0,grid
3,-0.5,1.125,73.02065509101186,0.0,grid
3,-0.5,1.15,76.14023758652522,0.0,grid
3,-0.5,1.175,79.32630925408805,0.0,grid
3,-0.5,1.2,82.57893657078168,0.0,grid
3,0.0,0.8,37.92233098975914,0.0,grid
3,0.0,0.825,40.14234621345074,0.0,grid
3,0.0,0.85,42.4269864235579,0.0,grid
3,0.0,0.875,44.776322858018176,0.0,grid
3,0.0,0.9,47.19039974914707,0.0,grid
3,0.0,0.925,49.669310221031864,0.0,grid
3,0.0,0.95,52.21308709090217,0.0,grid
3,0.0,0.975,54.82179312670496,0.0,grid
3,0.0,1.0,57.49549929022373,0.0,grid
3,0.0,1.025,60.23423008137546,0.0,grid
3,0.0,1.05,63.03802442156916,0.0,grid
3,0.0,1.075,65.90694923255555,0.0,grid
3,0.0,1.1,68.84105769970809,0.0,grid
3,0.0,1.125,71.84034677106246,0.0,grid
3,0.0,1.15,74.9049237702409,0.0,grid
3,0.0,1.175,78.03479186127026,0.0,grid
3,0.0,1.2,81.2299067012485,0.0,grid
3,0.5,0.8,37.356258613091214,0.0,grid
3,0.5,0.825,39.53834711257104,0.0,grid
