problem,parameter,parameter_label,value,value_unit,drying_time_h,change_from_baseline_percent
problem3,stable_temperature,稳定温度,-3.0,degC_offset,63.364644115433315,10.208007405211891
problem3,stable_temperature,稳定温度,-2.0,degC_offset,61.319473264428524,6.65091010846306
problem3,stable_temperature,稳定温度,-1.0,degC_offset,59.364552217775305,3.2507812796216276
problem3,stable_temperature,稳定温度,0.0,degC_offset,57.49549929022373,0.0
problem3,stable_temperature,稳定温度,1.0,degC_offset,55.708204367894304,-3.1085823140826716
problem3,stable_temperature,稳定温度,2.0,degC_offset,53.99877498070853,-6.081735705719424
problem3,stable_temperature,稳定温度,3.0,degC_offset,52.363494895861955,-8.925923694403668
problem3,boundary_time_scale,边界时间尺度,0.8,ratio,57.47475204657877,-0.03608498734871012
problem3,radius_scale,径向尺度,0.8,ratio,37.92233098975914,-34.04295734812885
problem3,stable_moisture_scale,环境含水率,0.8,ratio,57.37114657909896,-0.21628251369217832
problem3,diffusivity_scale,扩散系数,0.8,ratio,70.27306254065338,22.223588642880603
problem3,axial_length_scale,轴向长度,0.8,ratio,57.49549929022373,0.0
problem3,boundary_time_scale,边界时间尺度,0.9,ratio,57.48503424653807,-0.01820150066500137
problem3,radius_scale,径向尺度,0.9,ratio,47.19039974914707,-17.923315160824924
problem3,stable_moisture_scale,环境含水率,0.9,ratio,57.421167560303125,-0.12928269314680124
problem3,diffusivity_scale,扩散系数,0.9,ratio,63.15901782064756,9.850368464209224
problem3,axial_length_scale,轴向长度,0.9,ratio,57.49549929022373,0.0
problem3,boundary_time_scale,边界时间尺度,1.0,ratio,57.49549929022373,0.0
problem3,radius_scale,径向尺度,1.0,ratio,57.49549929022373,0.0
problem3,stable_moisture_scale,环境含水率,1.0,ratio,57.49549929022373,0.0
problem3,diffusivity_scale,扩散系数,1.0,ratio,57.49549929022373,0.0
problem3,axial_length_scale,轴向长度,1.0,ratio,57.49549929022373,0.0
problem3,boundary_time_scale,边界时间尺度,1.1,ratio,57.50609796075208,0.01843391336572822
problem3,radius_scale,径向尺度,1.1,ratio,68.84105769970809,19.73295049098479
problem3,stable_moisture_scale,环境含水率,1.1,ratio,57.59593329735065,0.1746815113648357
problem3,diffusivity_scale,扩散系数,1.1,ratio,52.88401024941941,-8.020608739349502
problem3,axial_length_scale,轴向长度,1.1,ratio,57.49549929022373,0.0
problem3,boundary_time_scale,边界时间尺度,1.2,ratio,57.516825068303824,0.03709121295294746
problem3,radius_scale,径向尺度,1.2,ratio,81.2299067012485,41.28046143441433
problem3,stable_moisture_scale,环境含水率,1.2,ratio,57.72673204690136,0.4021754042180349
problem3,diffusivity_scale,扩散系数,1.2,ratio,49.05940132870574,-14.672623189050944
problem3,axial_length_scale,轴向长度,1.2,ratio,57.49549929022373,0.0
problem4,stable_temperature,稳定温度,-3.0,degC_offset,56.2344419529273,10.05825086131512
problem4,stable_temperature,稳定温度,-2.0,degC_offset,54.44461964292292,6.555331547978073
problem4,stable_temperature,稳定温度,-1.0,degC_offset,52.73277319852036,3.2050213311217304
problem4,stable_temperature,稳定温度,0.0,degC_offset,51.09516234615482,0.0
problem4,stable_temperature,稳定温度,1.0,degC_offset,49.528254833828896,-3.066645530374451
problem4,stable_temperature,稳定温度,2.0,degC_offset,48.02869825812419,-6.001476357499826
problem4,stable_temperature,稳定温度,3.0,degC_offset,46.59332071988661,-8.810700308122216
problem4,boundary_time_scale,边界时间尺度,0.8,ratio,51.0746986898222,-0.04005008574782081
problem4,radius_scale,径向尺度,0.8,ratio,34.411675457470245,-32.65179348224558
problem4,stable_moisture_scale,环境含水率,0.8,ratio,50.928806740057226,-0.32557995406803025
problem4,diffusivity_scale,扩散系数,0.8,ratio,62.35538019063708,22.037737678955914
problem4,axial_length_scale,轴向长度,0.8,ratio,51.09516234615482,0.0
problem4,boundary_time_scale,边界时间尺度,0.9,ratio,51.08477794323576,-0.02032365187278219
problem4,radius_scale,径向尺度,0.9,ratio,42.29926677520356,-17.214732602984274
problem4,stable_moisture_scale,环境含水率,0.9,ratio,50.999640848722024,-0.18694822180164222
problem4,diffusivity_scale,扩散系数,0.9,ratio,56.095788360190596,9.786887416381989
problem4,axial_length_scale,轴向长度,0.9,ratio,51.09516234615482,0.0
problem4,boundary_time_scale,边界时间尺度,1.0,ratio,51.09516234615482,0.0
problem4,radius_scale,径向尺度,1.0,ratio,51.09516234615482,0.0
problem4,stable_moisture_scale,环境含水率,1.0,ratio,51.09516234615482,0.0
problem4,diffusivity_scale,扩散系数,1.0,ratio,51.09516234615482,0.0
problem4,axial_length_scale,轴向长度,1.0,ratio,51.09516234615482,0.0
problem4,boundary_time_scale,边界时间尺度,1.1,ratio,51.105826212683255,0.02087059916981499
problem4,radius_scale,径向尺度,1.1,ratio,60.795747146647564,18.98532924658133
problem4,stable_moisture_scale,环境含水率,1.1,ratio,51.22053638691376,0.24537360290503082
problem4,diffusivity_scale,扩散系数,1.1,ratio,47.01484249885787,-7.985726358307619
problem4,axial_length_scale,轴向长度,1.1,ratio,51.09516234615482,0.0
problem4,boundary_time_scale,边界时间尺度,1.2,ratio,51.116782569172564,0.04231363993184105
problem4,radius_scale,径向尺度,1.2,ratio,71.3864997566646,39.71283479449951
problem4,stable_moisture_scale,环境含水率,1.2,ratio,51.38204959523256,0.5614763431695527
problem4,diffusivity_scale,扩散系数,1.2,ratio,43.62407467889821,-14.621908071535561
problem4,axial_length_scale,轴向长度,1.2,ratio,51.09516234615482,0.0
